Tract,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Label,Community Area,Layer,Name,HCSDIAP_2016-2018,HCSDIAP_2016-2018_moe
17031010100,4854,2302,0,218.0,4.49,0,1,0,1,1,1,35.8,0,1,0,1,0,0,0,1,2035.0,1058.0,277.0,1810.0,2437.0,150.0,1.0,33.0,423.0,616.0,1162.0,433.0,"Census Tract 101, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010201,6450,2463,0,163.0,2.53,0,0,0,0,0,1,36.8,0,0,0,0,0,0,0,0,3776.0,1704.0,314.0,2312.0,2350.0,299.0,6.0,48.0,1435.0,2049.0,751.0,851.0,"Census Tract 102.01, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010202,2818,1115,0,315.0,11.18,0,0,0,0,0,1,18.5,0,0,0,0,0,0,0,0,1476.0,623.0,309.0,1237.0,953.0,143.0,1.0,18.0,466.0,789.0,464.0,232.0,"Census Tract 102.02, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010300,6236,2826,0,791.0,12.68,0,1,0,1,1,1,16.1,0,1,0,1,0,0,0,1,2117.0,951.0,884.0,3267.0,1722.0,346.0,16.0,21.0,864.0,1169.0,993.0,470.0,"Census Tract 103, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010400,5042,2098,0,1349.0,26.76,0,0,0,0,0,1,19.1,0,0,0,0,0,0,0,0,1322.0,419.0,263.0,3341.0,729.0,562.0,5.0,17.0,388.0,480.0,655.0,277.0,"Census Tract 104, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010501,4091,2293,0,7.0,0.17,0,0,0,0,0,1,20.7,0,0,0,0,0,0,0,0,1894.0,562.0,392.0,2018.0,1300.0,383.0,5.0,23.0,362.0,506.0,1132.0,466.0,"Census Tract 105.01, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010502,3101,1684,0,3.0,0.1,0,0,0,0,0,1,30.0,0,0,0,0,0,0,0,0,1356.0,376.0,106.0,1820.0,776.0,239.0,1.0,31.0,234.0,340.0,751.0,180.0,"Census Tract 105.02, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010503,2290,1184,0,163.0,7.12,0,0,0,0,0,1,48.0,0,0,0,0,0,0,0,0,1135.0,142.0,535.0,1452.0,303.0,331.0,2.0,19.0,183.0,245.0,494.0,296.0,"Census Tract 105.03, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010600,6097,2943,0,175.0,2.87,0,0,0,0,0,1,24.4,0,0,0,0,0,0,0,0,2329.0,980.0,396.0,3459.0,1542.0,329.0,1.0,33.0,733.0,1153.0,1263.0,365.0,"Census Tract 106, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010701,3864,1535,0,0.0,0.0,0,0,0,0,0,1,20.8,0,0,0,0,0,0,0,0,1593.0,962.0,240.0,2125.0,761.0,204.0,2.0,15.0,757.0,1463.0,285.0,273.0,"Census Tract 107.01, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031010702,5143,1912,0,60.0,1.17,0,0,0,0,0,1,24.2,0,0,0,0,0,0,0,0,2640.0,1363.0,167.0,2381.0,1155.0,323.0,3.0,36.0,1245.0,2423.0,698.0,406.0,"Census Tract 107.02, Cook County, Illinois",1,Community area,Rogers Park,11.2,4.741964285345
17031020100,3965,1508,0,48.0,1.21,0,0,0,0,0,1,14.2,0,0,0,0,0,0,0,0,1505.0,1000.0,352.0,1529.0,1182.0,608.0,4.0,28.0,614.0,952.0,250.0,250.0,"Census Tract 201, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
17031020200,6676,2054,0,118.0,1.77,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,2080.0,1865.0,838.0,4069.0,618.0,1394.0,1.0,8.0,586.0,943.0,91.0,352.0,"Census Tract 202, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
17031020301,4750,1969,0,2.0,0.04,0,0,0,0,0,0,13.6,0,1,0,1,0,0,0,0,1916.0,1228.0,1233.0,3965.0,106.0,470.0,0.0,15.0,194.0,289.0,346.0,276.0,"Census Tract 203.01, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
17031020302,4650,1630,0,369.0,7.94,0,1,0,0,0,1,22.8,0,1,0,1,0,0,0,0,1721.0,1103.0,685.0,3051.0,462.0,504.0,0.0,12.0,621.0,952.0,277.0,233.0,"Census Tract 203.02, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
17031020400,4168,1688,0,15.0,0.36,0,0,0,0,0,0,17.9,0,1,0,1,0,0,0,0,1463.0,1016.0,409.0,2266.0,718.0,530.0,0.0,27.0,627.0,987.0,200.0,162.0,"Census Tract 204, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
17031020500,6214,2077,0,241.0,3.88,0,0,0,0,0,1,26.3,0,0,0,0,0,0,0,0,3553.0,1592.0,641.0,2167.0,1221.0,1684.0,1.0,54.0,1087.0,1528.0,354.0,593.0,"Census Tract 205, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
17031020601,6353,1990,0,32.0,0.5,0,0,0,0,0,1,24.3,0,0,0,0,0,0,0,0,3183.0,1876.0,584.0,3908.0,304.0,1317.0,1.0,38.0,785.0,1010.0,429.0,616.0,"Census Tract 206.01, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
17031020602,4340,1397,0,13.0,0.3,0,1,0,0,0,1,22.0,0,1,0,1,0,0,0,0,2696.0,1117.0,435.0,2084.0,326.0,1215.0,5.0,11.0,699.0,1139.0,283.0,251.0,"Census Tract 206.02, Cook County, Illinois",2,Community area,West Ridge,11.3,4.95178571489
