Tract,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031010100,0,218.0,4.49,0,1,0,1,1,1,35.8,0,1,0,1,0,0,0,1,2035.0,1058.0,277.0,1810.0,2437.0,150.0,1.0,33.0,423.0,616.0,1162.0,433.0
17031010201,0,163.0,2.53,0,0,0,0,0,1,36.8,0,0,0,0,0,0,0,0,3776.0,1704.0,314.0,2312.0,2350.0,299.0,6.0,48.0,1435.0,2049.0,751.0,851.0
17031010202,0,315.0,11.18,0,0,0,0,0,1,18.5,0,0,0,0,0,0,0,0,1476.0,623.0,309.0,1237.0,953.0,143.0,1.0,18.0,466.0,789.0,464.0,232.0
17031010300,0,791.0,12.68,0,1,0,1,1,1,16.1,0,1,0,1,0,0,0,1,2117.0,951.0,884.0,3267.0,1722.0,346.0,16.0,21.0,864.0,1169.0,993.0,470.0
17031010400,0,1349.0,26.76,0,0,0,0,0,1,19.1,0,0,0,0,0,0,0,0,1322.0,419.0,263.0,3341.0,729.0,562.0,5.0,17.0,388.0,480.0,655.0,277.0
17031010501,0,7.0,0.17,0,0,0,0,0,1,20.7,0,0,0,0,0,0,0,0,1894.0,562.0,392.0,2018.0,1300.0,383.0,5.0,23.0,362.0,506.0,1132.0,466.0
17031010502,0,3.0,0.1,0,0,0,0,0,1,30.0,0,0,0,0,0,0,0,0,1356.0,376.0,106.0,1820.0,776.0,239.0,1.0,31.0,234.0,340.0,751.0,180.0
17031010503,0,163.0,7.12,0,0,0,0,0,1,48.0,0,0,0,0,0,0,0,0,1135.0,142.0,535.0,1452.0,303.0,331.0,2.0,19.0,183.0,245.0,494.0,296.0
17031010600,0,175.0,2.87,0,0,0,0,0,1,24.4,0,0,0,0,0,0,0,0,2329.0,980.0,396.0,3459.0,1542.0,329.0,1.0,33.0,733.0,1153.0,1263.0,365.0
17031010701,0,0.0,0.0,0,0,0,0,0,1,20.8,0,0,0,0,0,0,0,0,1593.0,962.0,240.0,2125.0,761.0,204.0,2.0,15.0,757.0,1463.0,285.0,273.0
17031010702,0,60.0,1.17,0,0,0,0,0,1,24.2,0,0,0,0,0,0,0,0,2640.0,1363.0,167.0,2381.0,1155.0,323.0,3.0,36.0,1245.0,2423.0,698.0,406.0
17031020100,0,48.0,1.21,0,0,0,0,0,1,14.2,0,0,0,0,0,0,0,0,1505.0,1000.0,352.0,1529.0,1182.0,608.0,4.0,28.0,614.0,952.0,250.0,250.0
17031020200,0,118.0,1.77,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,2080.0,1865.0,838.0,4069.0,618.0,1394.0,1.0,8.0,586.0,943.0,91.0,352.0
17031020301,0,2.0,0.04,0,0,0,0,0,0,13.6,0,1,0,1,0,0,0,0,1916.0,1228.0,1233.0,3965.0,106.0,470.0,0.0,15.0,194.0,289.0,346.0,276.0
17031020302,0,369.0,7.94,0,1,0,0,0,1,22.8,0,1,0,1,0,0,0,0,1721.0,1103.0,685.0,3051.0,462.0,504.0,0.0,12.0,621.0,952.0,277.0,233.0
17031020400,0,15.0,0.36,0,0,0,0,0,0,17.9,0,1,0,1,0,0,0,0,1463.0,1016.0,409.0,2266.0,718.0,530.0,0.0,27.0,627.0,987.0,200.0,162.0
17031020500,0,241.0,3.88,0,0,0,0,0,1,26.3,0,0,0,0,0,0,0,0,3553.0,1592.0,641.0,2167.0,1221.0,1684.0,1.0,54.0,1087.0,1528.0,354.0,593.0
17031020601,0,32.0,0.5,0,0,0,0,0,1,24.3,0,0,0,0,0,0,0,0,3183.0,1876.0,584.0,3908.0,304.0,1317.0,1.0,38.0,785.0,1010.0,429.0,616.0
17031020602,0,13.0,0.3,0,1,0,0,0,1,22.0,0,1,0,1,0,0,0,0,2696.0,1117.0,435.0,2084.0,326.0,1215.0,5.0,11.0,699.0,1139.0,283.0,251.0
17031020701,0,0.0,0.0,0,0,0,0,0,0,6.6,0,1,0,1,0,0,0,0,464.0,385.0,281.0,1088.0,42.0,418.0,0.0,7.0,149.0,227.0,16.0,57.0
17031020702,0,141.0,1.96,0,0,0,0,0,1,22.1,0,0,0,0,0,0,0,0,3628.0,1799.0,881.0,3618.0,556.0,2090.0,0.0,32.0,898.0,1174.0,256.0,675.0
17031020801,0,2.0,0.04,0,0,0,0,0,1,16.5,0,0,0,0,0,0,0,0,2314.0,1241.0,585.0,2945.0,386.0,1184.0,2.0,32.0,909.0,1467.0,227.0,435.0
17031020802,0,21.0,0.3,0,0,0,0,0,1,26.2,0,0,0,0,0,0,0,0,4315.0,1882.0,508.0,2347.0,746.0,2561.0,0.0,43.0,1266.0,1773.0,317.0,751.0
17031020901,0,16.0,0.31,0,0,0,0,0,1,28.9,0,0,0,0,0,0,0,0,3622.0,1366.0,300.0,1839.0,1061.0,1182.0,1.0,36.0,1102.0,1526.0,377.0,473.0
17031020902,0,461.0,10.76,0,0,0,0,0,1,26.7,0,0,0,0,0,0,0,0,2307.0,846.0,493.0,2095.0,564.0,1123.0,2.0,10.0,492.0,734.0,408.0,417.0
17031030101,0,15.0,0.39,0,0,0,0,0,1,14.7,0,0,0,0,0,0,0,0,1728.0,446.0,590.0,2017.0,996.0,505.0,0.0,20.0,355.0,544.0,634.0,282.0
17031030102,0,66.0,2.06,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,910.0,308.0,361.0,1898.0,709.0,330.0,1.0,13.0,253.0,347.0,947.0,106.0
17031030103,0,366.0,18.98,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,523.0,84.0,104.0,1150.0,341.0,303.0,0.0,4.0,130.0,182.0,370.0,28.0
17031030104,0,1681.0,45.67,0,0,0,0,0,1,27.9,0,0,0,0,0,0,0,0,755.0,129.0,265.0,2398.0,409.0,695.0,1.0,8.0,170.0,282.0,470.0,107.0
17031030200,0,45.0,0.84,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,1420.0,910.0,409.0,3918.0,468.0,432.0,6.0,38.0,507.0,743.0,604.0,49.0
17031030300,0,0.0,0.0,0,0,0,0,0,1,24.0,0,0,0,0,0,0,0,0,1563.0,683.0,427.0,1716.0,432.0,438.0,2.0,49.0,685.0,1219.0,443.0,294.0
17031030400,0,0.0,0.0,0,0,0,0,0,1,15.9,0,0,0,0,0,0,0,0,1016.0,486.0,308.0,1818.0,205.0,282.0,0.0,17.0,362.0,852.0,269.0,240.0
17031030500,0,125.0,1.95,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,807.0,949.0,431.0,4386.0,533.0,506.0,4.0,67.0,899.0,1626.0,836.0,119.0
17031030601,0,182.0,4.54,0,0,0,0,0,1,17.6,0,0,0,0,0,0,0,0,1646.0,473.0,627.0,2179.0,1050.0,424.0,0.0,16.0,343.0,521.0,791.0,488.0
17031030603,0,0.0,0.0,0,0,0,0,0,1,23.9,0,0,0,0,0,0,0,0,942.0,271.0,72.0,1031.0,617.0,178.0,0.0,24.0,245.0,447.0,754.0,235.0
17031030604,0,2.0,0.07,0,0,0,0,0,1,24.4,0,0,0,0,0,0,0,0,1302.0,246.0,406.0,1592.0,602.0,569.0,1.0,8.0,204.0,275.0,1066.0,299.0
17031030701,0,196.0,12.65,0,0,0,0,0,1,26.3,0,0,0,0,0,0,0,0,691.0,147.0,107.0,827.0,405.0,120.0,1.0,7.0,189.0,267.0,445.0,151.0
17031030702,0,0.0,0.0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,515.0,111.0,266.0,1006.0,170.0,362.0,0.0,4.0,88.0,124.0,592.0,69.0
17031030703,0,4.0,0.14,0,0,0,0,0,1,25.1,0,0,0,0,0,0,0,0,1276.0,274.0,584.0,1717.0,586.0,265.0,2.0,23.0,237.0,353.0,920.0,396.0
17031030706,0,0.0,0.0,0,0,0,0,0,1,13.3,0,0,0,0,0,0,0,0,955.0,296.0,1024.0,2373.0,504.0,460.0,0.0,21.0,241.0,387.0,1102.0,162.0
17031030800,0,148.0,3.42,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,782.0,584.0,415.0,3333.0,194.0,468.0,1.0,10.0,320.0,478.0,463.0,96.0
17031030900,0,3.0,0.1,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,513.0,461.0,292.0,2216.0,116.0,322.0,0.0,5.0,369.0,671.0,301.0,115.0
17031031000,0,0.0,0.0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,821.0,474.0,289.0,2674.0,166.0,275.0,1.0,23.0,517.0,834.0,403.0,123.0
17031031100,0,80.0,1.82,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,1999.0,444.0,383.0,3053.0,215.0,740.0,0.0,25.0,369.0,643.0,732.0,94.0
17031031200,0,620.0,10.98,0,0,0,0,0,1,26.9,0,0,0,0,0,0,0,0,3012.0,915.0,630.0,2168.0,1661.0,1107.0,3.0,38.0,671.0,852.0,1182.0,943.0
17031031300,0,461.0,6.51,0,0,0,0,0,1,22.1,0,0,0,0,0,0,0,0,3094.0,957.0,1228.0,3590.0,1519.0,1449.0,2.0,24.0,492.0,685.0,1854.0,653.0
17031031400,0,352.0,6.83,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,975.0,258.0,946.0,4066.0,463.0,387.0,1.0,13.0,220.0,367.0,973.0,74.0
