Tract,Community Area,HCSOBP_2016-2018
17031010100,1,33.5
17031010201,1,33.5
17031010202,1,33.5
17031010300,1,33.5
17031010400,1,33.5
17031010501,1,33.5
17031010502,1,33.5
17031010503,1,33.5
17031010600,1,33.5
17031010701,1,33.5
17031010702,1,33.5
17031020100,2,24.2
17031020200,2,24.2
17031020301,2,24.2
17031020302,2,24.2
17031020400,2,24.2
17031020500,2,24.2
17031020601,2,24.2
17031020602,2,24.2
17031020701,2,24.2
17031020702,2,24.2
17031020801,2,24.2
17031020802,2,24.2
17031020901,2,24.2
17031020902,2,24.2
17031030101,77,20.8
17031030102,77,20.8
17031030103,77,20.8
17031030104,77,20.8
17031030200,77,20.8
17031030300,77,20.8
17031030400,77,20.8
17031030500,77,20.8
17031030601,77,20.8
17031030603,77,20.8
17031030604,77,20.8
17031030701,77,20.8
17031030702,77,20.8
17031030703,77,20.8
17031030706,77,20.8
17031030800,77,20.8
17031030900,77,20.8
17031031000,3,20.0
17031031100,3,20.0
17031031200,3,20.0
17031031300,3,20.0
17031031400,3,20.0
17031031501,3,20.0
17031031502,3,20.0
17031031700,3,20.0
17031031800,3,20.0
17031031900,3,20.0
17031032100,3,20.0
17031040100,4,23.0
17031040201,4,23.0
17031040202,4,23.0
17031040300,4,23.0
17031040401,4,23.0
17031040402,4,23.0
17031040600,4,23.0
17031040700,4,23.0
17031040800,4,23.0
17031040900,4,23.0
17031050100,5,16.6
17031050200,5,16.6
17031050300,5,16.6
17031050500,5,16.6
17031050600,5,16.6
17031050700,5,16.6
17031050800,5,16.6
17031050900,5,16.6
17031051000,5,16.6
17031051100,5,16.6
17031051200,5,16.6
17031051300,5,16.6
17031051400,5,16.6
17031060100,6,17.8
17031060200,6,17.8
17031060300,6,17.8
17031060400,6,17.8
17031060500,6,17.8
17031060800,6,17.8
17031060900,6,17.8
17031061000,6,17.8
17031061100,6,17.8
17031061200,6,17.8
17031061500,6,17.8
17031061800,6,17.8
17031061901,6,17.8
17031061902,6,17.8
17031062000,6,17.8
17031062100,6,17.8
17031062200,6,17.8
17031062300,6,17.8
17031062400,6,17.8
17031062500,6,17.8
17031062600,6,17.8
17031062700,6,17.8
17031062800,6,17.8
17031062900,6,17.8
17031063000,6,17.8
17031063100,6,17.8
17031063200,6,17.8
17031063301,6,17.8
17031063302,6,17.8
17031063303,6,17.8
17031063400,6,17.8
17031070101,7,19.1
17031070102,7,19.1
17031070103,7,19.1
17031070200,7,19.1
17031070300,7,19.1
17031070400,7,19.1
17031070500,7,19.1
17031070600,7,19.1
17031070700,7,19.1
17031071000,7,19.1
17031071100,7,19.1
17031071200,7,19.1
17031071300,7,19.1
17031071400,7,19.1
17031071500,7,19.1
17031071600,7,19.1
17031071700,7,19.1
17031071800,7,19.1
17031080100,8,17.8
17031080201,8,17.8
17031080202,8,17.8
17031080300,8,17.8
17031080400,8,17.8
17031081000,8,17.8
17031081100,8,17.8
17031081201,8,17.8
17031081202,8,17.8
